State,Latitude,Longitude,,
Alirajpur,22.306,74.3558,,
Anuppur,23.1137,81.6976,,
Ashoknagar,24.5775,77.7318,,
Balaghat,21.8129,80.1838,,
Barwani,22.0363,74.9033,,
Betul,21.9012,77.896,,
Bhind,26.5638,78.7861,,
Bhopal,23.2599,77.4126,,
Burhanpur,21.3145,76.218,,
Chhatarpur,24.9168,79.591,,
Chhindwara,22.0574,78.9382,,
Damoh,23.8323,79.4387,,
Datia,25.6653,78.4609,,
Dewas,22.9676,76.0534,,
Dhar,22.4959,75.1545,,
Dindori,22.9418,81.0768,,
Guna,24.6324,77.3002,,
Gwalior,26.2124,78.1772,,
Harda,22.3467,77.089,,
Hoshangabad,22.7519,77.7289,,
Indore,22.7196,75.8577,,
Jabalpur,23.1815,79.9864,,
Jhabua,22.7697,74.5921,,
Katni,23.8343,80.3894,,
Khandwa,21.8314,76.3498,,
Khargone,21.8335,75.615,,
Mandla,22.5979,80.3714,,
Mandsaur,24.0734,75.0679,,
Morena,26.4947,77.994,,
Narsimhapur,22.9473,79.1923,,
Neemuch,24.4738,74.8726,,
Panna,24.4892,80.1875,,
Raisen,23.3327,77.7824,,
Rajgarh,23.8509,76.7337,,
Ratlam,23.3315,75.0367,,
Rewa,24.5362,81.3037,,
Sagar,23.8388,78.7378,,
Satna,24.6005,80.8322,,
Sehore,23.2032,77.0844,,
Seoni,22.0869,79.5435,,
Shahdol,23.3002,81.3569,,
Shajapur,23.4273,76.273,,
Sheopur,25.6728,76.6961,,
Shivpuri,25.432,77.6644,,
Sidhi,24.3956,81.8825,,
Singrauli,24.1443,82.3886,,
Tikamgarh,24.7456,78.8321,,
Ujjain,23.1765,75.7885,,
Umaria,23.531,80.8295,,
Vidisha,23.5236,77.814,,